This data file provides the data behind Figure 7.11
"It was produced by Dan Lunt, using script nonlin_fgd.pro"
study name,temperature anomaly relative to preindustrial [degreesC],"Feedback parameter, alpha [W/m2/degreesC]",paleo (1) or ESM (0),upper uncertainty on temp anom [degreesC],lower uncertainty on temp anom [degreesC],upper uncertainty on alpha [W/m2/degreesC],lower uncertainty on alpha [W/m2/degreesC]
"Meraner et al (2013)",1.39500,-1.65000,0,0.00000,0.00000,0.00000,0.00000
"Meraner et al (2013)",4.74500,-1.35000,0,0.00000,0.00000,0.00000,0.00000
"Meraner et al (2013)",9.58000,-1.03000,0,0.00000,0.00000,0.00000,0.00000
"Meraner et al (2013)",17.5700,-0.670000,0,0.00000,0.00000,0.00000,0.00000
"Good et al (2015)",1.37500,-1.35000,0,0.00000,0.00000,0.00000,0.00000
"Good et al (2015)",4.37500,-1.14000,0,0.00000,0.00000,0.00000,0.00000
"Jonko et al (2013)",1.10000,-1.54000,0,0.00000,0.00000,0.00000,0.00000
"Jonko et al (2013)",3.45000,-1.37000,0,0.00000,0.00000,0.00000,0.00000
"Jonko et al (2013)",6.30000,-1.25000,0,0.00000,0.00000,0.00000,0.00000
"Caballero and Huber (2013)",5.00000,-1.67000,0,0.00000,0.00000,0.00000,0.00000
"Caballero and Huber (2013)",7.00000,-1.61000,0,0.00000,0.00000,0.00000,0.00000
"Caballero and Huber (2013)",9.00000,-1.33000,0,0.00000,0.00000,0.00000,0.00000
"Caballero and Huber (2013)",13.0000,-0.610000,0,0.00000,0.00000,0.00000,0.00000
"Caballero and Huber (2013)",20.5000,-0.640000,0,0.00000,0.00000,0.00000,0.00000
"Friedrich et al (2016)",-5.50000,-2.08333,1,1.00000,1.00000,-0.355691,-0.265152
"Friedrich et al (2016)",0.00000,-0.757576,1,1.00000,1.00000,-0.104493,-0.0773036
"Kohler et al (2017)",-4.50000,-0.934579,1,1.00000,1.00000,-0.270240,-0.199285
"Kohler et al (2017)",-2.00000,-0.662252,1,1.00000,1.00000,-0.379415,-0.205631
"Anagnostou et al (2016)",9.00000,-1.48000,1,3.00000,3.00000,0.250000,0.250000
"Anagnostou et al (2016)",14.0000,-0.990000,1,3.00000,3.00000,0.250000,0.250000
"Shaffer et al (2016)",11.0000,-0.831461,1,3.00000,3.00000,-0.289751,-0.170746
"Shaffer et al (2016)",16.0000,-0.725490,1,3.00000,3.00000,-0.274510,-0.156259
"Zhu et al (2019)",6.25000,-1.08571,0,0.00000,0.00000,0.00000,0.00000
"Zhu et al (2019)",14.8000,-0.712121,0,0.00000,0.00000,0.00000,0.00000
"Zhu et al (2019)",21.1500,-0.536082,0,0.00000,0.00000,0.00000,0.00000
"Mauritsen et al (2019)",1.38500,-1.48014,0,0.00000,0.00000,0.00000,0.00000
"Mauritsen et al (2019)",4.57000,-1.31944,0,0.00000,0.00000,0.00000,0.00000
"Mauritsen et al (2019)",8.82000,-0.948979,0,0.00000,0.00000,0.00000,0.00000
"Mauritsen et al (2019)",16.2700,-0.510000,0,0.00000,0.00000,0.00000,0.00000
"Stolpe et al (2019)",-1.74000,-0.668699,0,0.00000,0.00000,0.00000,0.00000
"Stolpe et al (2019)",2.15500,-0.846868,0,0.00000,0.00000,0.00000,0.00000
"Stolpe et al (2019)",5.58500,-0.875300,0,0.00000,0.00000,0.00000,0.00000
"von der Heydt (2014)",-3.50000,-1.44928,1,0.800000,0.800000,-0.772947,-0.649275
"von der Heydt (2014)",-0.950000,-1.06383,1,1.75000,1.75000,-0.126646,-0.378898
"Royer (2016)",-1.50000,-0.838494,1,1.00000,1.00000,0.136616,0.136616
"Royer (2016)",0.500000,-0.377862,1,1.00000,1.00000,0.0911239,0.0911239
"Stap et al (2019)",-5.00000,-0.840336,1,1.00000,1.00000,-0.234933,-0.150681
"Stap et al (2019)",0.00000,-0.486618,1,1.00000,1.00000,-0.115792,-0.0784547
"Snyder (2019)",-5.25000,-1.88679,1,1.00000,1.00000,-0.744786,-0.437517
"Snyder (2019)",-1.75000,-1.19048,1,1.00000,1.00000,-0.258799,-0.190476
"Duan et al (2019)",1.52500,-0.810000,0,0.00000,0.00000,0.00000,0.00000
"Duan et al (2019)",4.64000,-0.900000,0,0.00000,0.00000,0.00000,0.00000
"Duan et al (2019)",7.31500,-0.950000,0,0.00000,0.00000,0.00000,0.00000
"Duan et al (2019)",9.14500,-0.970000,0,0.00000,0.00000,0.00000,0.00000
"Anagnostou et al (2020)",8.20000,-1.23333,1,2.55000,2.55000,-0.714035,-0.330894
"Anagnostou et al (2020)",14.8000,-0.822222,1,0.640000,0.640000,-0.205556,-0.137037
