This data file provides the observational data behind Figure 7.13
"It was produced by Dan Lunt, using script plot_all_fgd.pro"
Time Period,SST or SAT,longitude [degrees],latitude [degrees],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC]
"MPWP","SAT",-141.950,64.0600,2.00000,9.95472,2.00000
"MPWP","SAT",108.370,55.6900,4.00000,14.8378,4.00000
"MPWP","SAT",-83.8800,52.8300,4.50000,8.57146,4.50000
"MPWP","SAT",17.3800,47.0500,1.20000,3.12139,1.20000
"MPWP","SAT",7.19000,43.8200,2.00000,4.83694,2.00000
"MPWP","SAT",1.13000,40.8300,3.50000,7.00778,3.50000
"MPWP","SAT",-8.93000,39.3500,2.70000,4.32708,2.70000
"MPWP","SAT",115.760,-30.4300,5.00000,2.92611,5.00000
"MPWP","SST",-12.6983,69.2415,1.40507,1.70564,1.40507
"MPWP","SST",2.92632,67.2220,0.510355,6.40087,0.510355
"MPWP","SST",-15.8667,57.5167,0.516231,5.94283,0.516231
"MPWP","SST",-147.109,56.9598,1.36639,2.28182,1.36639
"MPWP","SST",-24.2381,49.8778,0.550348,1.41036,0.550348
"MPWP","SST",-32.9572,41.0012,0.660203,6.15935,0.660203
"MPWP","SST",-32.9573,41.0012,0.839743,2.56858,0.839743
"MPWP","SST",13.4933,37.2889,1.04222,6.35547,1.04222
"MPWP","SST",-7.71800,36.8050,0.717878,8.76653,0.717878
"MPWP","SST",-70.0293,35.4953,0.973284,2.93868,0.973284
"MPWP","SST",-87.1600,28.8317,1.80776,3.53847,1.80776
"MPWP","SST",59.8000,16.6000,0.832882,2.74275,0.832882
"MPWP","SST",-78.7398,12.7436,0.871087,-3.54476,0.871087
"MPWP","SST",113.285,9.36200,0.829150,0.401700,0.829150
"MPWP","SST",-86.4445,5.84280,0.845229,-0.965136,0.845229
"MPWP","SST",-123.206,3.83340,2.70757,3.29828,2.70757
"MPWP","SST",-2.73530,3.62780,1.03756,-3.79920,1.03756
"MPWP","SST",159.361,0.319000,1.44740,1.73924,1.44740
"MPWP","SST",-11.7392,-1.39020,0.855858,2.69096,0.855858
"MPWP","SST",-90.8180,-3.09490,0.864127,1.72504,0.864127
"MPWP","SST",60.6000,-3.90000,1.45700,-0.897714,1.45700
"MPWP","SST",88.7000,-11.3000,2.07356,-1.06294,2.07356
"MPWP","SST",11.3193,-19.6199,1.70277,7.63804,1.70277
"MPWP","SST",112.200,-20.6000,1.41626,0.447103,1.41626
"MPWP","SST",11.8206,-21.0942,1.05349,9.32803,1.05349
"MPWP","SST",13.0278,-25.5137,1.56467,7.49221,1.56467
"MPWP","SST",-35.2853,-30.2765,1.09097,5.31368,1.09097
"MPWP","SST",15.3109,-31.4651,0.525989,2.65060,0.525989
"MPWP","SST",167.674,-40.5080,1.01061,-0.535042,1.01061
"MPWP","SST",-178.166,-42.5500,0.441110,4.36906,0.441110
"MPWP","SST",8.89982,-42.9136,0.727090,3.73637,0.727090
"MPWP","SST",174.958,-45.6833,0.537521,1.28944,0.537521
"LGM","SAT",-161.000,69.0000,0.648048,2.55613,0.648048
"LGM","SAT",-157.000,67.0000,0.461660,4.00169,0.461660
"LGM","SAT",-153.000,67.0000,0.461660,4.00169,0.461660
"LGM","SAT",-149.000,67.0000,0.402861,-3.05897,0.402861
"LGM","SAT",-147.000,65.0000,0.574901,0.0769370,0.574901
"LGM","SAT",-143.000,67.0000,0.464225,-2.51920,0.464225
"LGM","SAT",-139.000,69.0000,0.432127,-0.161855,0.432127
"LGM","SAT",-123.000,45.0000,0.363017,3.20646,0.363017
"LGM","SAT",-123.000,47.0000,1.26430,7.84300,1.26430
"LGM","SAT",-121.000,45.0000,0.260955,-2.08233,0.260955
"LGM","SAT",-109.000,33.0000,0.301402,9.37668,0.301402
"LGM","SAT",-99.0000,29.0000,0.340343,5.87900,0.340343
"LGM","SAT",-93.0000,39.0000,0.461818,14.3135,0.461818
"LGM","SAT",-91.0000,41.0000,0.664777,15.9472,0.664777
"LGM","SAT",-85.0000,35.0000,0.229943,9.90473,0.229943
"LGM","SAT",-85.0000,37.0000,0.276798,10.4329,0.276798
"LGM","SAT",-81.0000,27.0000,0.279505,6.00007,0.279505
"LGM","SAT",-81.0000,33.0000,0.222865,5.91190,0.222865
"LGM","SAT",-81.0000,35.0000,0.266943,13.2452,0.266943
"LGM","SAT",-79.0000,33.0000,0.222865,5.91190,0.222865
"LGM","SAT",-79.0000,35.0000,0.207820,14.6043,0.207820
"LGM","SAT",-77.0000,37.0000,0.160915,13.8977,0.160915
"LGM","SAT",-75.0000,41.0000,0.477700,8.38000,0.477700
"LGM","SAT",-41.0000,-7.00000,0.497378,5.15391,0.497378
"LGM","SAT",-7.00000,43.0000,0.908385,9.93784,0.908385
"LGM","SAT",-3.00000,37.0000,1.02353,11.0654,1.02353
"LGM","SAT",-1.00000,7.00000,1.06637,4.16825,1.06637
"LGM","SAT",-1.00000,43.0000,0.708664,12.4434,0.708664
"LGM","SAT",3.00000,43.0000,0.673174,12.2997,0.673174
"LGM","SAT",3.00000,45.0000,0.721254,12.2868,0.721254
"LGM","SAT",5.00000,45.0000,0.712999,12.2522,0.712999
"LGM","SAT",7.00000,47.0000,0.829749,12.3381,0.829749
"LGM","SAT",9.00000,5.00000,1.00655,4.38731,1.00655
"LGM","SAT",13.0000,11.0000,0.839107,5.51405,0.839107
"LGM","SAT",13.0000,41.0000,0.842391,12.0761,0.842391
"LGM","SAT",15.0000,-25.0000,0.773601,4.27233,0.773601
"LGM","SAT",15.0000,-5.00000,1.05531,3.79916,1.05531
"LGM","SAT",15.0000,41.0000,0.842391,12.0761,0.842391
"LGM","SAT",19.0000,-33.0000,0.832919,4.33098,0.832919
"LGM","SAT",19.0000,-25.0000,0.247979,5.39396,0.247979
"LGM","SAT",19.0000,21.0000,1.38627,6.57787,1.38627
"LGM","SAT",19.0000,69.0000,3.23980,7.40000,3.23980
"LGM","SAT",21.0000,39.0000,0.744084,11.3061,0.744084
"LGM","SAT",21.0000,41.0000,0.718719,11.8184,0.718719
"LGM","SAT",23.0000,39.0000,0.744084,11.3061,0.744084
"LGM","SAT",25.0000,-33.0000,0.637301,4.98382,0.637301
"LGM","SAT",25.0000,-27.0000,0.768299,5.13804,0.768299
"LGM","SAT",25.0000,41.0000,0.739719,11.8897,0.739719
"LGM","SAT",27.0000,49.0000,0.706864,14.5104,0.706864
"LGM","SAT",29.0000,-29.0000,0.994114,5.08258,0.994114
"LGM","SAT",29.0000,-25.0000,0.932127,4.80496,0.932127
"LGM","SAT",29.0000,-5.00000,0.728785,3.53739,0.728785
"LGM","SAT",29.0000,-3.00000,0.735463,3.76215,0.735463
"LGM","SAT",29.0000,-1.00000,0.808762,4.03691,0.808762
"LGM","SAT",29.0000,37.0000,0.789396,9.77639,0.789396
"LGM","SAT",31.0000,-11.0000,0.678530,3.91012,0.678530
"LGM","SAT",31.0000,-9.00000,0.574167,3.75908,0.574167
"LGM","SAT",31.0000,39.0000,0.807295,10.6329,0.807295
"LGM","SAT",31.0000,47.0000,0.664775,14.4710,0.664775
"LGM","SAT",35.0000,1.00000,0.816728,4.44094,0.816728
"LGM","SAT",35.0000,35.0000,0.874188,8.72379,0.874188
"LGM","SAT",37.0000,-1.00000,0.686340,4.75708,0.686340
"LGM","SAT",37.0000,1.00000,0.725300,4.47837,0.725300
"LGM","SAT",37.0000,57.0000,0.644685,15.0040,0.644685
"LGM","SAT",39.0000,47.0000,0.586800,14.0459,0.586800
"LGM","SAT",39.0000,57.0000,0.672455,13.7690,0.672455
"LGM","SAT",39.0000,59.0000,0.834356,13.6026,0.834356
"LGM","SAT",41.0000,41.0000,0.614558,9.48267,0.614558
"LGM","SAT",41.0000,43.0000,0.547972,9.09739,0.547972
"LGM","SAT",41.0000,57.0000,0.845290,12.5894,0.845290
"LGM","SAT",45.0000,41.0000,0.679893,7.65318,0.679893
"LGM","SAT",47.0000,-19.0000,0.671139,3.97836,0.671139
"LGM","SAT",47.0000,35.0000,0.970274,9.73627,0.970274
"LGM","SAT",49.0000,-19.0000,0.671139,3.97836,0.671139
"LGM","SAT",57.0000,55.0000,0.678820,7.89801,0.678820
"LGM","SAT",63.0000,57.0000,0.910099,9.05165,0.910099
"LGM","SAT",65.0000,65.0000,0.696581,9.29414,0.696581
"LGM","SAT",65.0000,67.0000,0.756808,9.08290,0.756808
"LGM","SAT",67.0000,65.0000,0.762672,9.00608,0.762672
"LGM","SAT",69.0000,57.0000,0.549920,9.73607,0.549920
"LGM","SAT",69.0000,59.0000,0.586974,10.0562,0.586974
"LGM","SAT",71.0000,57.0000,0.541662,9.52659,0.541662
"LGM","SAT",71.0000,67.0000,0.805946,7.78247,0.805946
"LGM","SAT",73.0000,39.0000,1.48762,4.61689,1.48762
"LGM","SAT",75.0000,41.0000,1.44534,5.20506,1.44534
"LGM","SAT",83.0000,53.0000,0.752801,7.91358,0.752801
"LGM","SAT",83.0000,55.0000,0.555133,8.83834,0.555133
"LGM","SAT",83.0000,59.0000,0.623386,9.16140,0.623386
"LGM","SAT",85.0000,57.0000,0.687539,8.35830,0.687539
"LGM","SAT",85.0000,69.0000,0.799555,5.46523,0.799555
"LGM","SAT",87.0000,53.0000,0.712030,6.83122,0.712030
"LGM","SAT",89.0000,49.0000,0.769062,4.54057,0.769062
"LGM","SAT",89.0000,69.0000,0.811042,5.03201,0.811042
