This data file provides the observational data behind Figure 7.13,,,,,,,,,,,
"It was produced by Dan Lunt, using script plot_all_fgd.pro",,,,,,,,,,,
Time Period,SST or SAT,longitude [degrees],latitude [degrees],mean temperature [degreesC],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC],model mean,model aver,model Seb,model Seb+1 lon
MPWP,SAT,-141.95,64.06,9.95472,2,9.95472,2,4.89606,4.89606,4.811920166,"4.89605712890625,"
MPWP,SAT,108.37,55.69,14.8378,4,14.8378,4,4.15652,4.15652,3.901519775,"4.156524658203125,"
MPWP,SAT,-83.88,52.83,8.57146,4.5,8.57146,4.5,4.61969,4.61969,4.491790771,"4.61968994140625,"
MPWP,SAT,17.38,47.05,3.12139,1.2,3.12139,1.2,3.83493,3.83493,3.840148926,"3.834930419921875,"
MPWP,SAT,7.19,43.82,4.83694,2,4.83694,2,3.9285,3.9285,3.994781494,"3.928497314453125,"
MPWP,SAT,1.13,40.83,7.00778,3.5,7.00778,3.5,3.51108,3.51108,3.583374023,"3.511077880859375,"
MPWP,SAT,-8.93,39.35,4.32708,2.7,4.32708,2.7,3.61133,3.61133,3.455596924,"3.611328125,"
MPWP,SAT,115.76,-30.43,2.92611,5,2.92611,5,2.40924,2.40924,2.356048584,"2.40924072265625,"
MPWP,SST,-12.6983,69.2415,1.70564,1.40507,1.70564,1.40507,4.0325,4.0325,3.791401386,"3.7914013862609863,"
MPWP,SST,2.92632,67.222,6.40087,0.510355,6.40087,0.510355,4.16043,4.16043,4.204548359,"4.160433769226074,"
MPWP,SST,-15.8667,57.5167,5.94283,0.516231,5.94283,0.516231,4.02794,4.02794,3.403535843,"3.403535842895508,"
MPWP,SST,-147.109,56.9598,2.28182,1.36639,2.28182,1.36639,2.61299,2.61299,3.433711052,"3.433711051940918,"
MPWP,SST,-24.2381,49.8778,1.41036,0.550348,1.41036,0.550348,4.08229,4.08229, nan,"nan,"
MPWP,SST,-32.9572,41.0012,6.15935,0.660203,6.15935,0.660203,3.25374,3.25374, nan,"nan,"
MPWP,SST,-32.9573,41.0012,2.56858,0.839743,2.56858,0.839743,3.25374,3.25374, nan,"nan,"
MPWP,SST,13.4933,37.2889,6.35547,1.04222,6.35547,1.04222,3.23096,2.94731, nan,"nan,"
MPWP,SST,-7.718,36.805,8.76653,0.717878,8.76653,0.717878,3.06961,2.93565, nan,"nan,"
MPWP,SST,-70.0293,35.4953,2.93868,0.973284,2.93868,0.973284,2.19077,2.19077, nan,"nan,"
MPWP,SST,-87.16,28.8317,3.53847,1.80776,3.53847,1.80776,1.91771,1.81299, nan,"nan,"
MPWP,SST,59.8,16.6,2.74275,0.832882,2.74275,0.832882,2.35683,2.35683,2.366355896,"2.3568286895751953,"
MPWP,SST,-78.7398,12.7436,-3.54476,0.871087,-3.54476,0.871087,1.70438,1.70438, nan,"nan,"
MPWP,SST,113.285,9.362,0.4017,0.82915,0.4017,0.82915,1.89227,1.89227,1.858528137,"1.8922672271728516,"
MPWP,SST,-86.4445,5.8428,-0.965136,0.845229,-0.965136,0.845229,1.71538,1.71538, nan,"nan,"
MPWP,SST,-123.206,3.8334,3.29828,2.70757,3.29828,2.70757,1.83683,1.83683,1.749290466,"1.7492904663085938,"
MPWP,SST,-2.7353,3.6278,-3.7992,1.03756,-3.7992,1.03756,1.74695,1.7942,1.749290466,"1.7492904663085938,"
MPWP,SST,159.361,0.319,1.73924,1.4474,1.73924,1.4474,1.79304,1.79304,1.795995712,"1.7930412292480469,"
MPWP,SST,-11.7392,-1.3902,2.69096,0.855858,2.69096,0.855858,1.97653,1.97653,1.927530289,"1.927530288696289,"
MPWP,SST,-90.818,-3.0949,1.72504,0.864127,1.72504,0.864127,2.19581,2.19581,1.908090591,"1.908090591430664,"
MPWP,SST,60.6,-3.9,-0.897714,1.457,-0.897714,1.457,2.04817,2.04817,2.05320549,"2.0481739044189453,"
MPWP,SST,88.7,-11.3,-1.06294,2.07356,-1.06294,2.07356,1.97835,1.97835,1.980043411,"1.978353500366211,"
MPWP,SST,11.3193,-19.6199,7.63804,1.70277,7.63804,1.70277,1.8585,1.73015,2.105730057,"1.8584957122802734,"
MPWP,SST,112.2,-20.6,0.447103,1.41626,0.447103,1.41626,1.76179,1.89146,1.734779358,"1.7617874145507812,"
MPWP,SST,11.8206,-21.0942,9.32803,1.05349,9.32803,1.05349,1.83167,1.64454,1.624038696,"1.8316688537597656,"
MPWP,SST,13.0278,-25.5137,7.49221,1.56467,7.49221,1.56467,2.08054,1.73546,1.811819077,"2.0805397033691406,"
MPWP,SST,-35.2853,-30.2765,5.31368,1.09097,5.31368,1.09097,1.78925,1.78925,1.869699478,"1.869699478149414,"
MPWP,SST,15.3109,-31.4651,2.6506,0.525989,2.6506,0.525989,1.98845,1.97937,2.04466629,"1.9884490966796875,"
MPWP,SST,167.674,-40.508,-0.535042,1.01061,-0.535042,1.01061,1.85081,1.8883,1.861663818,"1.8508052825927734,"
MPWP,SST,-178.166,-42.55,4.36906,0.44111,4.36906,0.44111,1.99135,1.99135,2.405431747,"2.4054317474365234,"
MPWP,SST,8.89982,-42.9136,3.73637,0.72709,3.73637,0.72709,2.36913,2.36913,2.356779099,"2.3691349029541016,"
MPWP,SST,174.958,-45.6833,1.28944,0.537521,1.28944,0.537521,1.89866,2.16122,1.955340385,"1.8986625671386719,"
LGM,SAT,-161,69,2.55613,0.648048,2.55613,0.648048,5.87466,5.87466,6.762832642,"6.5472869873046875,"
LGM,SAT,-157,67,4.00169,0.46166,4.00169,0.46166,4.05093,4.05093,4.835021973,"4.930206298828125,"
LGM,SAT,-153,67,4.00169,0.46166,4.00169,0.46166,4.18204,4.18204,5.535797119,"5.656829833984375,"
LGM,SAT,-149,67,-3.05897,0.402861,-3.05897,0.402861,4.57999,4.57999,5.88180542,"6.036529541015625,"
LGM,SAT,-147,65,0.076937,0.574901,0.076937,0.574901,4.71188,4.71188,4.335479736,"4.3197021484375,"
LGM,SAT,-143,67,-2.5192,0.464225,-2.5192,0.464225,4.38083,4.38083,5.152770996,"5.248016357421875,"
LGM,SAT,-139,69,-0.161855,0.432127,-0.161855,0.432127,7.5248,7.5248,7.80267334,"9.081787109375,"
LGM,SAT,-123,45,3.20646,0.363017,3.20646,0.363017,5.95074,5.95074,6.135559082,"7.148162841796875,"
LGM,SAT,-123,47,7.843,1.2643,7.843,1.2643,9.311,9.311,8.973236084,"10.406951904296875,"
LGM,SAT,-121,45,-2.08233,0.260955,-2.08233,0.260955,6.97897,6.97897,8.00970459,"8.15679931640625,"
LGM,SAT,-109,33,9.37668,0.301402,9.37668,0.301402,5.63455,5.63455,6.288421631,"6.358551025390625,"
